Subject.ID,sex_r,prime_code,prime_condition,age,link_yn,thinking_yn,prior_hool,correct_raw,correct_pct,hupf_corr_pct,correct_raw_red,correct_pct_red
190,weiblich,1,Universitaetsprofessor,24,nein,nein,ja,17,56.66666667,66.66666667,11,57.89473684210527
191,maennlich,0,Fussballhooligan,24,ja,nein,ja,23,76.66666667,100,17,89.47368421052632
192,weiblich,1,Universitaetsprofessor,22,ja,nein,ja,19,63.33333333,66.66666667,13,68.42105263157895
193,weiblich,1,Universitaetsprofessor,22,nein,nein,ja,23,76.66666667,33.33333333,15,78.94736842105263
194,weiblich,1,Universitaetsprofessor,23,nein,nein,nein,13,43.33333333,33.33333333,8,42.10526315789473
195,maennlich,1,Universitaetsprofessor,68,ja,nein,ja,20,66.66666667,33.33333333,13,68.42105263157895
196,weiblich,1,Universitaetsprofessor,64,ja,nein,ja,17,56.66666667,33.33333333,11,57.89473684210527
201,weiblich,0,Fussballhooligan,21,ja,nein,ja,15,50,0,10,52.63157894736842
202,weiblich,1,Universitaetsprofessor,24,ja,nein,ja,19,63.33333333,66.66666667,15,78.94736842105263
203,maennlich,1,Universitaetsprofessor,23,nein,nein,ja,18,60,100,11,57.89473684210527
205,weiblich,0,Fussballhooligan,21,nein,nein,ja,14,46.66666667,33.33333333,10,52.63157894736842
206,maennlich,0,Fussballhooligan,22,ja,nein,ja,25,83.33333333,66.66666667,19,100
207,maennlich,1,Universitaetsprofessor,42,nein,nein,ja,18,60,33.33333333,14,73.68421052631578
188,weiblich,0,Fussballhooligan,24,nein,nein,ja,18,60,66.66666667,13,68.42105263157895
147,maennlich,1,Universitaetsprofessor,21,nein,nein,ja,16,53.33333333,33.33333333,10,52.63157894736842
200,maennlich,0,Fussballhooligan,28,ja,ja,NA,21,70,100,14,73.68421052631578
189,weiblich,1,Universitaetsprofessor,21,ja,nein,NA,17,56.66666667,66.66666667,11,57.89473684210527
146,maennlich,0,Fussballhooligan,21,nein,nein,NA,17,56.66666667,33.33333333,12,63.1578947368421
166,maennlich,0,Fussballhooligan,22,nein,nein,NA,17,56.66666667,66.66666667,13,68.42105263157895
149,weiblich,1,Universitaetsprofessor,25,ja,nein,NA,11,36.66666667,33.33333333,5,26.31578947368421
145,weiblich,0,Fussballhooligan,23,ja,NA,NA,21,70,66.66666667,14,73.68421052631578
169,maennlich,1,Universitaetsprofessor,26,ja,nein,NA,18,60,33.33333333,14,73.68421052631578
140,maennlich,0,Fussballhooligan,26,ja,nein,NA,15,50,66.66666667,11,57.89473684210527
126,maennlich,0,Fussballhooligan,23,nein,nein,NA,18,60,33.33333333,11,57.89473684210527
204,maennlich,0,Fussballhooligan,25,nein,nein,NA,19,63.33333333,66.66666667,11,57.89473684210527
